,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_clustering_p,largest_cc_p,avg_local_efficiency_p,global_efficiency_p,avg_pc,avg_pc_ste
21,control,0.1397,0.3657739253905169,0.0069795920361142,0.2728861202056934,0.0039357649527975,0.4145591283544274,0.007335898484914,0.8972902097902097,0.0122212548165938,52,185,0.5086708862890612,0.7675600644501159,0.096298257383081,0.0083073747957266,0.8538166533716552,0.0097980982678305
22,covid,0.1487,0.3650354151888391,0.0061492679773035,0.270430753092477,0.0044485132084813,0.4058450138713787,0.0069163183373602,0.9097985347985348,0.0103704110309685,52,197,0.650142113130096,0.7703697374545961,0.1552674538796737,0.0099132774444079,0.8942702805402574,0.0059412354542539
23,control,0.1487,0.3729224666770919,0.0075067595802561,0.2829767652169824,0.0039046222113721,0.4233976808480816,0.007805446073029,0.9104020979020976,0.0119045415222072,52,197,0.650142113130096,0.7703697374545961,0.1552674538796737,0.0099132774444079,0.8610034810972332,0.0089443165114513
24,covid,0.1577,0.3708608215403326,0.0062003970540553,0.2774745382257992,0.0046700722899006,0.4124582510530793,0.0068350770678183,0.9152930402930404,0.0103414904698096,52,209,0.6626291548475618,0.6014374915602226,0.1316664310673433,0.0065862880741517,0.8982955340170055,0.0055975812283124
25,control,0.1577,0.378717502169188,0.0075215828967483,0.2924032667298729,0.0034144335747118,0.4305754733896946,0.0076785608063388,0.9256993006993006,0.0084431444216137,52,209,0.6626291548475618,0.6014374915602226,0.1316664310673433,0.0065862880741517,0.8670471755738202,0.0085846540684341
26,covid,0.1667,0.3771256511054981,0.0059083341804867,0.2853358617128501,0.0044189600298844,0.4194359663508664,0.0068983980322048,0.9244505494505496,0.0094369644143085,52,221,0.6254633660341771,0.7240245884129406,0.1071285425460891,0.0099132774444079,0.9015752796628468,0.0054181275261225
27,control,0.1667,0.3838057994109318,0.0073070119774651,0.2995916788476915,0.0034869171289798,0.4371029921614822,0.0076749000373395,0.9326923076923076,0.0079995652175363,52,221,0.6254633660341771,0.7240245884129406,0.1071285425460891,0.0099132774444079,0.8734193998242978,0.0082600767106312
28,covid,0.1756,0.378982684661299,0.0058842996801642,0.2924989669641335,0.0046356767002574,0.4226358822708628,0.0066869426528814,0.9322344322344324,0.0096096724537933,52,232,0.4813671910512577,0.8308270858278003,0.0772713150935027,0.0266923315242381,0.9051919629115176,0.0053706695281307
29,control,0.1756,0.3898228150137992,0.0076312902247842,0.3060576450871888,0.0036684429241151,0.4429767143723752,0.0078238077836153,0.9379370629370628,0.0080558094730979,52,232,0.4813671910512577,0.8308270858278003,0.0772713150935027,0.0266923315242381,0.8790890645285635,0.0077544567422278
30,covid,0.1846,0.3822763630110389,0.0061517045581091,0.2986423511340511,0.0046466902802332,0.4270120821231313,0.007061819330811,0.9377289377289376,0.0094462164720076,52,244,0.607223971906161,0.7528869136973735,0.1503069023997764,0.0272897171098759,0.9086780649112476,0.0051460855376685
31,control,0.1846,0.3901286343825955,0.0071980849359924,0.313541956613141,0.0037352828782535,0.4450472710196619,0.0076223427979493,0.944055944055944,0.0079352668725214,52,244,0.607223971906161,0.7528869136973735,0.1503069023997764,0.0272897171098759,0.8841883123054269,0.0074082648206642
32,covid,0.1936,0.3881910511667277,0.0063634509839025,0.3044428715685686,0.0047326949695494,0.4331209384780009,0.0070439937288418,0.9436813186813188,0.0093027145574735,52,256,0.5142274353119121,0.986012895761722,0.0817142943822606,0.0291515842999504,0.9119947896441656,0.0048539944451308
33,control,0.1936,0.3973534385846552,0.0069428042904291,0.3185849818044763,0.0037450636781273,0.4520884415073853,0.0071013761103668,0.9466783216783216,0.0078638210872062,52,256,0.5142274353119121,0.986012895761722,0.0817142943822606,0.0291515842999504,0.8887614117270162,0.0071470802408518
34,covid,0.2026,0.3905614761445827,0.0065617533013845,0.310134994368632,0.0047731566796154,0.435576548714215,0.0072899929018594,0.9482600732600732,0.0088664386272973,52,268,0.5424762553575377,0.7482708372822342,0.0802108250352837,0.0255313721186413,0.9147206067915854,0.0047440102931968
35,control,0.2026,0.3987030747159542,0.0066461273984079,0.3251572848402718,0.0036724649441439,0.4534677106989853,0.0069552844342321,0.9541083916083916,0.0071072376161889,52,268,0.5424762553575377,0.7482708372822342,0.0802108250352837,0.0255313721186413,0.8928263780342807,0.0069870678455241
36,covid,0.2115,0.394721981002379,0.0068377851827494,0.3152180373414966,0.004848703496989,0.440853108086201,0.0076498943243388,0.9523809523809524,0.0087653699000538,52,280,0.5597891579620384,0.996479210327866,0.1316664310673433,0.0339255667122582,0.9174601386907824,0.0045355514260303
37,control,0.2115,0.4014244462829937,0.0065920766387521,0.3295970509725685,0.003809702580354,0.4565869905749047,0.006969469747926,0.9549825174825174,0.0071535115615843,52,280,0.5597891579620384,0.996479210327866,0.1316664310673433,0.0339255667122582,0.8970959942057504,0.0067833991549716
38,covid,0.2205,0.3920304919310308,0.0067996638905258,0.3218946771838005,0.0048296835795359,0.4386041042387238,0.0075748089612891,0.9624542124542128,0.0065702298235306,52,292,0.199512972392501,0.6419019531553285,0.0369425900924656,0.0663787474871534,0.9201476950212372,0.0043344016281969
