,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,modularity,modularity_ste,num_nodes,num_edges
28,covid,0.1172,0.3396961034709254,0.006479514616813,0.2347181132206483,0.0045291179710335,0.3720811128320833,0.0072292962640182,0.4143946864554036,0.0114532253917957,52.0,155.0
29,control,0.1172,0.347183076532415,0.00681741839328,0.2445055289495838,0.0039854790263477,0.3893123018370106,0.0070308363928546,0.4242165967495591,0.0085517542250594,52.0,155.0
30,covid,0.1228,0.347156037231237,0.0064209858986189,0.2414745385338426,0.0046168694607366,0.3807288120528821,0.0071377600174782,0.4060907143809102,0.0110291596706964,52.0,162.0
31,control,0.1228,0.3537055459274666,0.0068512395989555,0.2518019578203659,0.0040216228637557,0.3965427765529998,0.0069352758641933,0.4174246922899842,0.0083417445447929,52.0,162.0
32,covid,0.1283,0.3517462904705229,0.0061021208938215,0.2482583045253193,0.0046051957009118,0.3868902869505243,0.0069715594921494,0.3979127203270399,0.0106878534117557,52.0,170.0
33,control,0.1283,0.3588218262481754,0.0069732335904085,0.2587162272658483,0.004006449058438,0.4038669418811972,0.0070870726830944,0.4092339400378104,0.0079955461356513,52.0,170.0
34,covid,0.1338,0.3580637889591294,0.0059177670244156,0.2537133096852321,0.0044299414453561,0.3944488409054208,0.0067834963589974,0.3921792001093699,0.0102834846073409,52.0,177.0
35,control,0.1338,0.3612841283927249,0.0070459341706692,0.2645638454989579,0.0040628861510411,0.40820234047094,0.0071450799339651,0.4028545027841467,0.0080256308106537,52.0,177.0
36,covid,0.1393,0.3586163339116147,0.0059118648712255,0.2603511682397967,0.0042748216046278,0.3964272006476815,0.0067508366706784,0.3862730656370039,0.0105510979896489,52.0,184.0
37,control,0.1393,0.3660904403665286,0.0069782480472175,0.2718719155446876,0.0039292211997883,0.4148470038397785,0.0073193692664156,0.3950866453418401,0.0078416063750632,52.0,184.0
38,covid,0.1448,0.3618869248560464,0.0059813458657215,0.2669805514109523,0.004392311885278,0.4022282399799954,0.0068855364161663,0.3806097206705087,0.0104083799377507,52.0,192.0
39,control,0.1448,0.3704951441939951,0.007426636869209,0.2781145292252993,0.0039174410272327,0.4198539489627219,0.0077918754014838,0.3886105204782543,0.0077121372223158,52.0,192.0
40,covid,0.1503,0.3655182702101192,0.0062625308256704,0.2714657911062633,0.0044886950775008,0.4068517031250923,0.006971732720291,0.3748294697131942,0.0101190950984121,52.0,199.0
41,control,0.1503,0.3736054051897687,0.0074018349735525,0.2838256903030375,0.0039116567185694,0.4248331434728432,0.0076572139243362,0.3838939825968745,0.0075297387979694,52.0,199.0
42,covid,0.1559,0.3697109382116639,0.0061224292484237,0.2757385481911305,0.0045711675335315,0.4115938903543758,0.0068201112700854,0.3698943580090473,0.0102145569203829,52.0,206.0
43,control,0.1559,0.3789820648377994,0.0075333279825203,0.2899448455515964,0.0034317515569014,0.4303390066726413,0.0078230304271377,0.3762952885206335,0.0074106778737786,52.0,206.0
44,covid,0.1614,0.3721733418703943,0.0060757532380728,0.280158889270663,0.0046108524531183,0.4146459745048932,0.0068898457537916,0.3646705892605992,0.0100879120304999,52.0,213.0
45,control,0.1614,0.3807952315796459,0.0076428606745892,0.2949033463995729,0.0033382849190951,0.4334342996736147,0.0078057763448689,0.3706805000205537,0.0074507065224548,52.0,213.0
46,covid,0.1669,0.376248883140562,0.0060229540087999,0.2854927041001634,0.0044040691216915,0.4188115987184352,0.0069324019429126,0.3555811750747282,0.0102745130372157,52.0,221.0
47,control,0.1669,0.3838057994109318,0.0073070119774651,0.2995916788476915,0.0034869171289798,0.4371029921614822,0.0076749000373395,0.3660354766166449,0.0073468332073113,52.0,221.0
