,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,largest_cc_p,avg_local_efficiency_p,global_efficiency_p,avg_clustering_p,avg_pc,avg_pc_ste
67,control,0.3462,0.4811227711481251,0.0081409201711755,0.4176761770187425,0.0066517708782888,0.5280487477097208,0.0096583144920159,0.9807312252964429,0.0051447924810613,46,358,0.1876297834524584,0.0049218955227372,0.0006136825995098,0.0393526789725942,0.956929117801826,0.0018399599666533
68,covid,0.3551,0.4508923408233517,0.0094460909286551,0.3884399509288028,0.0064319743101281,0.4844280113025582,0.0102543707438884,0.9761904761904762,0.0045009944725085,46,367,0.1974821164800745,0.0044180672706239,0.0010116569784096,0.0339255667122582,0.9638122157349396,0.0021602667871652
69,control,0.3551,0.4820768360902053,0.0081950150325555,0.4214023849324053,0.0068179582760231,0.5283956949976636,0.0096889367686763,0.983695652173913,0.0035713518514824,46,367,0.1974821164800745,0.0044180672706239,0.0010116569784096,0.0339255667122582,0.9579378601977416,0.0017900382346889
70,covid,0.3641,0.452585975151396,0.0097068002905177,0.390589526385064,0.0065795032915597,0.4851781022408526,0.0105056518283083,0.9772256728778468,0.0045094895938871,46,376,0.1684102922253332,0.0062504016325634,0.0009224071236328,0.0436659549841349,0.9646199214230184,0.0021354936406044
71,control,0.3641,0.4828403419671814,0.0083481730357187,0.4240306422938563,0.0069053430848713,0.528189034587219,0.0099010989716044,0.9846837944664032,0.0036022866158932,46,376,0.1684102922253332,0.0062504016325634,0.0009224071236328,0.0436659549841349,0.95896473700218,0.0017522040987162
72,covid,0.3731,0.4537322662592113,0.0100481006270084,0.3937557473078403,0.0067451551917923,0.4861228213209903,0.0107834567721372,0.980848861283644,0.004280909489464,46,386,0.4384267951502423,0.0091939253819802,0.0012146021073197,0.0503700438284866,0.9653951436656923,0.0021194120363536
73,control,0.3731,0.4841657572591498,0.0085123457386981,0.4268654272184713,0.0070788142409781,0.5283560682171508,0.010060506059093,0.9851778656126484,0.0035471918562041,46,386,0.4384267951502423,0.0091939253819802,0.0012146021073197,0.0503700438284866,0.9599789610208088,0.0017075847060287
74,covid,0.3821,0.453503970094496,0.0102217045779091,0.3956022207054116,0.0068627097733118,0.4853395627784163,0.0109272021787457,0.980848861283644,0.004280909489464,46,395,0.3079434904865135,0.0085215313026873,0.0013296108587212,0.0483718878999294,0.9661130049845502,0.0021090687873631
75,control,0.3821,0.4847148312260877,0.0086943342610308,0.4293197025888142,0.0072490453480179,0.5280015963549767,0.0102877781908403,0.9861660079051384,0.0034999568341319,46,395,0.3079434904865135,0.0085215313026873,0.0013296108587212,0.0483718878999294,0.9609557652832584,0.0016554952856771
76,covid,0.391,0.4555268909937232,0.0104863215130384,0.3973715749099908,0.0069512152977872,0.4863429831129883,0.0110181507557493,0.9818840579710144,0.0043253799643622,46,404,0.4730433925230125,0.0096681078204301,0.001638103379219,0.0545742196012075,0.9668608984789742,0.0020881778741954
77,control,0.391,0.4866555891942131,0.0089850183097869,0.4314695846871821,0.0073598082435035,0.529035913051806,0.0105932597691102,0.9866600790513832,0.0034383879682302,46,404,0.4730433925230125,0.0096681078204301,0.001638103379219,0.0545742196012075,0.9619408604881275,0.0016159621530365
78,covid,0.4,0.4563074531518228,0.0106713744923789,0.3995166778514425,0.0070505258135873,0.4856915508513745,0.0111008482834369,0.9839544513457557,0.0038077458247312,46,414,0.3565983745999813,0.0099132774444079,0.0015903288562243,0.0556698305587421,0.9674908957697348,0.0020839253146971
79,control,0.4,0.4885758224175129,0.0092405045259279,0.4347568784810418,0.0076166450668039,0.5301815651346307,0.0109440199440557,0.9891304347826086,0.0028382226514515,46,414,0.3565983745999813,0.0099132774444079,0.0015903288562243,0.0556698305587421,0.9628423584721701,0.0015624685161382318
