,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,modularity,modularity_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_local_efficiency_p,modularity_p,global_efficiency_p,largest_cc_p,avg_clustering_p
33,covid,0.2115,0.3174755798539794,0.0087040030136625,0.3144784654834739,0.004312212488644,0.407341886564553,0.0086488070081088,0.3212978996042543,0.0078707966422432,0.9827380952380954,0.0032437030439646,400,16880,0.0002803211891626748,0.656373634476648,9.593197060428693e-05,0.3067185699021724,0.000840501015028277
34,control,0.1846,0.3695177673425549,0.0086980514122924,0.3352920734498497,0.0040541760642435,0.4672705478124609,0.0089433306833915,0.3476296846023342,0.0077251132808833,0.9896022727272726,0.0014169119046069,400,14732,0.00025344265891351256,0.656373634476648,6.937736895500089e-05,0.436878640274865,0.0006538928141349498
35,covid,0.2205,0.315460819896159,0.0087736493524929,0.315791081448862,0.0044144296249387,0.4041087618789901,0.0086979912322819,0.3146618189159933,0.0077330054004091,0.9829166666666668,0.0032492767670194,400,17596,0.0002803211891626748,0.5597891579620384,0.00011058972997245565,0.3385399760281613,0.0008670220495218715
36,control,0.1936,0.3681513006262765,0.0088629445606967,0.3378080030467731,0.0041999130897448,0.4645426996823517,0.0090940948456568,0.3406406937818595,0.0074510779703222,0.989943181818182,0.0014518988625589,400,15448,0.00023688750863450918,0.6377525473580441,6.450618932207127e-05,0.33449517239606374,0.0007188230306397219
37,covid,0.2295,0.3134325438429804,0.0088411214497151,0.316913229939142,0.0045004658780896,0.4008329826232114,0.0087322233873239,0.3098385214151302,0.0074768065451366,0.9829761904761906,0.0032485367533221,400,18313,0.00029969998601540887,0.6011973726473452,0.00012294326032038293,0.28848092770292255,0.0009224071236328951
38,control,0.2026,0.3669768952636797,0.0090461961994,0.3400084063986321,0.0043383205387452,0.4620497272168404,0.0092667559431162,0.3342230111682263,0.0072947417751949,0.9900000000000002,0.0014552555085074,400,16164,0.00029969998601540887,0.6878836276431053,7.459516983261439e-05,0.3342433232637845,0.0008670220495218715
39,covid,0.2385,0.3116122583622469,0.0088933426360064,0.317963558900536,0.0045850712830452,0.3978145127503372,0.0087709044831084,0.3039186578481847,0.0074647141309206,0.983154761904762,0.0032472510655594,400,19029,0.0003311334258993076,0.6011973726473452,0.00014144688269440147,0.25787785809517194,0.0009513126435267218
40,covid,0.2474,0.309691086662462,0.0089183409541626,0.3188752290879729,0.0046590527763277,0.3947005214197956,0.0087865913559618,0.2968690181566489,0.0073565686046217,0.9832142857142856,0.0032518590033468,400,19745,0.0003203279984550621,0.4601118832150398,0.00014144688269440147,0.27262665884831205,0.000840501015028277
41,control,0.2115,0.3656742269993724,0.0091683599247716,0.342077089364371,0.0044742140673229,0.4594592981510503,0.0093996479648755,0.3270624718190112,0.0071658553642296,0.9901136363636366,0.0014529344448828,400,16880,0.0002803211891626748,0.656373634476648,9.593197060428693e-05,0.3067185699021724,0.000840501015028277
42,control,0.2205,0.3643011268908575,0.0093232259133934,0.3439796780022596,0.0045962564812552,0.4568742703319866,0.0095568369883255,0.3213699081372602,0.0071129513146779,0.9902272727272728,0.0014459488992989,400,17596,0.0002803211891626748,0.5597891579620384,0.00011058972997245565,0.3385399760281613,0.0008670220495218715
