,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,largest_cc_p,global_efficiency_p,avg_clustering_p,avg_local_efficiency_p,avg_pc,avg_pc_ste
17,control,0.1218,0.3983778653093589,0.0059348547247938,0.2874035480131641,0.0036124768761757,0.469408517199108,0.0064366755445557,0.9370629370629372,0.00824072615131,91,498,0.8862046455668021,0.0126866470762958,0.0567837049441457,0.0112241071872468,0.6862378215968901,0.0120232437485523
18,covid,0.1308,0.3829102646514178,0.0069782045890166,0.2798408998928504,0.0042163918215667,0.4477928268969801,0.0078675864977676,0.9382522239665096,0.0094478339766865,91,535,0.6025077840028672,0.0069383190843877,0.0393526789725942,0.0117901270007952,0.726235934317406,0.0102855344992487
19,control,0.1308,0.4005578713358563,0.0060856814212165,0.2963171588678445,0.0036806655869372,0.4735824988237617,0.0064975282118936,0.943806193806194,0.0081635552747122,91,535,0.6025077840028672,0.0069383190843877,0.0393526789725942,0.0117901270007952,0.6970138230697202,0.0117707228451958
20,covid,0.1397,0.3854370554830174,0.007121184349821,0.2882359594946461,0.004102707989238,0.4507890551536747,0.007919623135697,0.9481946624803768,0.008218140924853,91,572,0.8178220460710852,0.0044180672706239,0.0311217447268879,0.0053332654144599,0.7358431047030211,0.0101886607951729
21,control,0.1397,0.4046570637104749,0.0059886510299492,0.3054502226198894,0.0036332866397356,0.4796071440543788,0.0064196109135177,0.9535464535464536,0.0067835003336054,91,572,0.8178220460710852,0.0044180672706239,0.0311217447268879,0.0053332654144599,0.7062572803579802,0.0115416873066912
22,covid,0.1487,0.3872008422664558,0.0074346114666548,0.2948219015451389,0.0041109056635149,0.4527577128604564,0.0083410831315924,0.9521193092621664,0.0077335034307508,91,609,0.79068917888651,0.0065862880741517,0.0233399442862251,0.0047912880990923,0.7460125500323871,0.0096938488260296
23,control,0.1487,0.4070370330651688,0.0057478982805976,0.3124002091866903,0.0036811452062165,0.4827935732490843,0.0062252604789955,0.9580419580419582,0.0062414853739798,91,609,0.79068917888651,0.0065862880741517,0.0233399442862251,0.0047912880990923,0.7158323579973854,0.0113971749727673
24,covid,0.1577,0.3897034032295446,0.0075142685458366,0.3008421663747012,0.0041704151935044,0.455948270948034,0.0083513070212115,0.956567242281528,0.007427645676136,91,645,0.6878739454684153,0.0024610900150971,0.0393526789725942,0.0074980991209223,0.7538926777088253,0.0095814873971199
25,control,0.1577,0.4096043779057028,0.0058985184036603,0.320931202637371,0.0037783032953913,0.4859435040936191,0.0063162766170671,0.9652847152847156,0.0053090956431091,91,645,0.6878739454684153,0.0024610900150971,0.0393526789725942,0.0074980991209223,0.7246935324124278,0.011294983885361
26,covid,0.1667,0.3914695924639347,0.0077705690949397,0.3065923059036366,0.0042180304155997,0.4578234489291881,0.008500893968898,0.9607535321821038,0.0068342750979378,91,682,0.8714131206510496,0.0023239926279204,0.0567837049441457,0.0094283579028257,0.7613951135397756,0.009274007683934
